Title,Genre
The Shawshank Redemption,Action
The Godfather,Action
The Dark Knight,Action
The Godfather Part II,Action
12 Angry Men,Action
The Lord of the Rings: The Return of the King,Action
Schindler's List,Action
The Lord of the Rings: The Fellowship of the Ring,Action
Pulp Fiction,Action
"The Good, the Bad and the Ugly",Action
The Lord of the Rings: The Two Towers,Action
Forrest Gump,Action
Fight Club,Action
Inception,Action
Star Wars: Episode V - The Empire Strikes Back,Action
The Matrix,Action
Goodfellas,Action
Interstellar,Action
One Flew Over the Cuckoo's Nest,Action
Se7en,Action
It's a Wonderful Life,Action
The Silence of the Lambs,Action
Seven Samurai,Action
Saving Private Ryan,Action
The Green Mile,Action
